timestamp,level,run_id,worker,event,source_id,source_revision_id,message,duration_ms,exit_code
2026-09-14T14:39:59+02:00,INFO,,,workspace_initialized,,,Workspace initialized at C:\Users\dbarbiero\AppData\Local\Temp\dsl_manager_manual_e2e_20260914\workspace,,
2026-09-14T14:40:01+02:00,INFO,,,database_initialized,,,Database ready at C:\Users\dbarbiero\AppData\Local\Temp\dsl_manager_manual_e2e_20260914\workspace\workspace.sqlite; applied=11; skipped=0,,
2026-09-14T14:41:13+02:00,INFO,,,corpus_scan_completed,,,Corpus scan completed for C:\Users\dbarbiero\AppData\Local\Temp\dsl_manager_manual_e2e_20260914\workspace\corpus\active; added=9; modified=0; deleted=0; unchanged=0,,
2026-09-14T14:41:14+02:00,INFO,,,corpus_scan_completed,,,Corpus scan completed for C:\Users\dbarbiero\AppData\Local\Temp\dsl_manager_manual_e2e_20260914\workspace\corpus\active; added=0; modified=0; deleted=0; unchanged=9,,
2026-09-14T14:41:30+02:00,ERROR,RUN_000003,parse_ddl,corpus_parse_ddl_failed,,,DDL parsing failed for revision REV_000001; run=RUN_000003; exit_code=5,,
2026-09-14T14:41:31+02:00,INFO,RUN_000004,parse_db_code,corpus_parse_db_code_completed,,,SQL code parsing completed for revision REV_000002; source=SRC_000002; procedures=1; triggers=1; fragments=4; fragments_hash=76a808e4483e242c66b6bbdb6f06ce9598f21a7809a914b3b53247278af61296,,
2026-09-14T14:43:57+02:00,INFO,RUN_000005,normalize_docling,corpus_normalization_completed,,,Normalization completed for revision REV_000003; source=SRC_000003; normalized_hash=c5b1eba79c4a4f721424da9e39d4f4213883818033d545d23bfb22559ff8d631,,
2026-09-14T14:43:59+02:00,INFO,RUN_000006,chunk_docling,corpus_chunking_completed,,,Chunking completed for revision REV_000003; source=SRC_000003; chunks=1; chunks_hash=9fd6fef5d197b0b60c2d396bdee0e57cabb46cb7b393748805c7ed456b29b6f0,,
2026-09-14T14:45:28+02:00,INFO,RUN_000007,normalize_docling,corpus_normalization_completed,,,Normalization completed for revision REV_000004; source=SRC_000004; normalized_hash=162bc6928643332def6435648fdc5f048cf14a55a6d090bc152be211e594c156,,
2026-09-14T14:45:30+02:00,INFO,RUN_000008,chunk_docling,corpus_chunking_completed,,,Chunking completed for revision REV_000004; source=SRC_000004; chunks=1; chunks_hash=5eb351051f82d4d35dce85ba9187cf4ab93aa20bc6f97ac8a95678594993448a,,
2026-09-14T14:46:57+02:00,INFO,RUN_000009,normalize_docling,corpus_normalization_completed,,,Normalization completed for revision REV_000005; source=SRC_000005; normalized_hash=bcfab4c7a9f3362cc1d08f0d3c522ab52612614f812c924afbca691b911a077e,,
2026-09-14T14:46:59+02:00,INFO,RUN_000010,chunk_docling,corpus_chunking_completed,,,Chunking completed for revision REV_000005; source=SRC_000005; chunks=1; chunks_hash=e04bd4f4c8a6b34b53f69df721849c8c76bc5e05ee99879ee29520cd815a5179,,
