timestamp,level,run_id,worker,event,source_id,source_revision_id,message,duration_ms,exit_code
2026-09-17T04:54:46+02:00,INFO,,,workspace_initialized,,,Workspace initialized at C:\Users\dbarbiero\OneDrive - Engineering Ingegneria Informatica S.p.A\Projects\dsl_manager-v1\.workspaces\vega,,
2026-09-17T04:54:48+02:00,INFO,,,database_initialized,,,Database ready at C:\Users\dbarbiero\OneDrive - Engineering Ingegneria Informatica S.p.A\Projects\dsl_manager-v1\.workspaces\vega\workspace.sqlite; applied=12; skipped=0,,
2026-09-17T04:54:50+02:00,INFO,,,review_config_shown,,,Review configuration shown (workspace).,,
2026-09-17T04:54:51+02:00,INFO,,,review_profiles_listed,,,Built-in review profiles listed.,,
2026-09-17T04:54:53+02:00,INFO,,,review_allowlist_updated,,,Review allowlist contains 13 policies.,,
2026-09-17T04:54:55+02:00,INFO,,,review_config_validated,,,Review configuration is valid.,,
2026-09-17T04:54:59+02:00,INFO,,,corpus_scan_completed,,,Corpus scan completed for C:\Users\dbarbiero\OneDrive - Engineering Ingegneria Informatica S.p.A\Projects\dsl_manager-v1\.workspaces\vega\corpus\active; added=6; modified=0; deleted=0; unchanged=0,,
2026-09-17T04:55:01+02:00,INFO,,,corpus_scan_completed,,,Corpus scan completed for C:\Users\dbarbiero\OneDrive - Engineering Ingegneria Informatica S.p.A\Projects\dsl_manager-v1\.workspaces\vega\corpus\active; added=0; modified=0; deleted=0; unchanged=6,,
2026-09-17T04:55:09+02:00,INFO,RUN_000003,parse_ddl,corpus_parse_ddl_completed,,,DDL parsing completed for revision REV_000001; source=SRC_000001; tables=2; fragments=14; fragments_hash=1f7420688a134b5b730a883cf6331a33e4db175e7291d7bbff557893aa732429,,
2026-09-17T04:57:40+02:00,INFO,RUN_000004,normalize_docling,corpus_normalization_completed,,,Normalization completed for revision REV_000002; source=SRC_000002; normalized_hash=0949d9eb61c9f5ae95cdfecadc7b7c74d7240d94ed42e515ff8c968dccd29a73,,
2026-09-17T04:57:42+02:00,INFO,RUN_000005,chunk_docling,corpus_chunking_completed,,,Chunking completed for revision REV_000002; source=SRC_000002; chunks=1; chunks_hash=e356c41c5f1a33875a0e42b2ce7ef1ee29c2c08b09a0bec0388892503b31c321,,
2026-09-17T04:58:28+02:00,INFO,RUN_000006,normalize_docling,corpus_normalization_completed,,,Normalization completed for revision REV_000003; source=SRC_000003; normalized_hash=7e53ea44f13e014023ce250ee74d83a87849feea11c4546b9828296cf78ae193,,
2026-09-17T04:58:29+02:00,INFO,RUN_000007,chunk_docling,corpus_chunking_completed,,,Chunking completed for revision REV_000003; source=SRC_000003; chunks=1; chunks_hash=3d6a7bfe7f73bd544646b0cf1676a8573592f95e0e0a6cce1e2888436444d3a0,,
2026-09-17T04:58:30+02:00,INFO,RUN_000008,parse_xml_form,corpus_parse_xml_form_completed,,,XML form parsing completed for revision REV_000004; source=SRC_000004; forms=1; fragments=2; fragments_hash=799f5d92a3f0d9ddecacc133259a349313c24c72ef7fe70c329d942b2812d135,,
2026-09-17T04:58:31+02:00,INFO,RUN_000009,parse_log,corpus_parse_log_completed,,,Log parsing completed for revision REV_000005; source=SRC_000005; events=5; fragments=5; fragments_hash=c5aca7045fe6267a1cba19b10680c0f83f1eec28af6549cfc970c09017973b80,,
2026-09-17T04:58:32+02:00,INFO,RUN_000010,parse_db_code,corpus_parse_db_code_completed,,,SQL code parsing completed for revision REV_000006; source=SRC_000006; procedures=1; triggers=1; fragments=4; fragments_hash=d92c357c195ec33cecb8b7f31454d878a6a4f000f0b481b53914c966b1a0a6f5,,
2026-09-17T04:58:54+02:00,INFO,RUN_000030,build_ai_package,ai_package_completed,,,AI package completed; package=AIPKG_000001; chunks=2; fragments=26,,
2026-09-17T05:01:33+02:00,INFO,RUN_000034,,dsl_render_completed,,,DSL render completed; snapshot=DSL_000001; facts=23; relations=8; conflicts=4,,
2026-09-17T05:01:35+02:00,INFO,RUN_000035,,gexf_export_completed,,,GEXF export completed; snapshot=DSL_000001; nodes=36; edges=47; orphans=2,,
